name,alcohol,character,class
Domaine Roger Neveu 'Cóte des Embouffants' Sancerre 2019/20,13.5,1,Sancerre
Bienbebido Pulpo Albariño 2020,11.0,1,Albariño
Drappier Premier Cru Champagne,12.0,1,
Bollinger Special Cuvée Champagne,12.0,1,
Pol Roger 2012/13 Champagne,12.5,1,
Majestic Loves Fizz,11.0,1,
Bouvet Ladubay Brut,12.5,1,
Chapel Down Brut,12.0,1,
Shaw + Smith 'M3' Chardonnay 2019/20,13.5,1,Chardonnay
St Clair 'Wairau Reserve' Sauvignon Blanc 2020/21,13.0,1,Sauvignon Blanc
Oyster Bay Sauvignon Blanc 2020/21,13.0,1,Sauvignon Blanc
Catena Chardonnay 2019/20,13.5,1,Chardonnay
Viñalba Selección Torrontés 2020,13.5,1,
Definition Chenin Blanc 2020/21,14.0,1,
Vasse Felix 'Filius' Chardonnay 2020,13.0,1,Chardonnay
Apostoles 30-Year-Old Palo Cortado Sherry Gonzalez Byass Half Bottle,20.0,3,
Kendermanns Riesling Kabinett 2020,8.5,2,Riesling
Porta 6 Vinho Verde 2019/20,9.5,1,
Aqualta Prosecco DOC,11.0,1,
Waimea Estates Albariño 2020/21,13.0,1,Albariño
Men in White Coats Viognier 2020/21,13.5,1,
Le Bois Doré Chenin Blanc 2019/20,13.0,1,
Domaine des Patureaux Pouilly Fume 2019/20,14.0,1,
Forrest Wines 'The Doctors'' Sauvignon Blanc 2020/21,9.5,1,Sauvignon Blanc
Framingham 'Classic' Riesling 2020/21,12.5,3,Riesling
Framingham 'Nobody's Hero' Sauvignon Blanc 2019/20,13.0,1,Sauvignon Blanc
Mt. Difficulty 'Roaring Meg' Pinot Gris 2020,14.0,1,Pinot Gris
Stag's Leap 'Hands of Time' Chardonnay 2018/19,14.5,1,Chardonnay
Domaine Jean Perrier and Fils 'Altus' 2020,11.5,1,
Definition Rioja Blanco 2020,13.5,1,
Lugana DOC 2020 Nunzio Ghiraldi,13.5,1,
Eccelsa Vermentino 2019/20,13.5,1,
Vernaccia di San Gimignano 2019/20 Macarini,12.5,1,
Eccelsa Vermentino 2019/20,13.5,1,
Vernaccia di San Gimignano 2019/20 Macarini,12.5,1,
Definition Mosel Riesling 2019/20,10.5,5,Riesling
Domaine Michaut Frères 'Le Jardin du Curé' Chablis 2020,13.0,1,
Doudet Naudin Chablis Grand Cru 2019,13.0,1,
The Whale Cove Sauvignon Blanc,12.5,1,Sauvignon Blanc
Dr. Hermann 'Ürziger Würzgarten' Riesling Auslese 2006,8.5,6,Riesling
Girardin Père et Fils ‘Vieilles Vignes’ Meursault 2017,13.0,1,
Cantina di Monteforte 'Saveroni' Garganega-Pinot Grigio 2020,12.5,2,Pinot Grigio
Olivier Tricon ‘Léon Valleret’ Chablis 2020,12.5,2,
The Ned ‘Skyscraper’ Sauvignon Blanc 2021,13.5,1,Sauvignon Blanc
Lapostolle Cuvée Alexandre Chardonnay 2019,14.5,2,Chardonnay
Jaboulet Viognier 2019/20,13.5,1,
Chapel Down Bacchus 2020,12.5,1,
Cloudy Bay Sauvignon Blanc 2020/21,13.5,1,Sauvignon Blanc
Lyrarakis Assyrtiko 2020/21,13.5,1,
Santa Rita '120' Sauvignon Blanc 2020/21,13.5,1,Sauvignon Blanc
Nicolas Potel Bourgogne Chardonnay 2019/20,13.0,1,Chardonnay
Jean Sablenay Muscadet 2019/20,11.5,1,
Guigal Condrieu 2018,14.5,2,
Dr Loosen Slate Hill Riesling 2019/20,8.5,3,Riesling
Verdicchio dei Castelli di Jesi 2020,12.5,1,
Ammazza Pinot Grigio 2020,12.0,1,Pinot Grigio
Haut Poitou Sauvignon Blanc 2020 Pierre Sauvion,12.5,1,Sauvignon Blanc
Domaine de Ladoucette 'Comte Lafond' Sancerre 2019,12.5,1,Sancerre
Domaine de la Tourmaline ‘Sur Lie’ Muscadet de Sèvre et Maine 2020,12.0,1,
Abbotts and Delaunay Viognier 2019/20,13.5,1,
Louis Latour 'Grand Ardèche' Chardonnay 2018/19,13.5,1,Chardonnay
Domaine Begude 'L'Etoile' Chardonnay 2019/20,13.5,1,Chardonnay
Casal de Ventozela 2020 Vinho Verde,13.5,1,
Casal de Ventozela Alvarinho 2020,13.5,1,
Domaine de Saint Ferréol Viognier 2019/20,13.5,1,
Château de Pennautier 'Marquis de Pennautier' Chardonnay-Viognier 2020/21,13.0,1,Chardonnay
Laurent-Perrier La Cuvée Champagne Magnum,12.0,1,
Moët et Chandon 'Brut Impérial' Champagne,12.0,1,
Veuve Clicquot 2012 Champagne,12.0,1,
Pol Roger 'Réserve' Champagne,12.5,1,
Dom Ruinart 2009 Champagne,12.5,1,
Nicolas Feuillatte Brut Champagne,12.0,1,
Royal Tokaji 5 Puttonyos 2016 Hungary 50cl,11.5,8,Tokaji
Balfour '1503' Brut,12.0,1,
Jim Barry 'Lodge Hill' Riesling 2020,12.5,1,Riesling
Saint Clair 'Pioneer Block 25' Sauvignon Blanc 2020/21,13.0,1,Sauvignon Blanc
Mud House Sauvignon Blanc 2020/21,12.5,1,Sauvignon Blanc
Au Bon Climat Chardonnay 2019,13.5,1,Chardonnay
